,,,,,,,,,,,,Total element; mass number is for detection limit determination.,,,,,,,,,,,,,,,,,,,,,,,,
"Be, V, As, and Tl had NIST1640a (independent source verification) recoveries that were somewhat off from the true values, although everything else looks pretty good.  ",,,,,,,,,,,,Negative values are below detection.,,,,,,,,,,,,,,,,,,,,,,,,
Metal Values in ppb (ng/mL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample #,Location,Material,Replicate,Day.deploy,Weight (g),Unbrushed,Optical.density of 15 beads (@ 595 nm),Lithium /  7,Beryllium /  9,Sodium /  23,Magnesium /  24,Aluminum /  27,Potassium /  39,Calcium /  44,Vanadium /  51,Chromium /  52,Manganese /  55,Iron /  56,Cobalt /  59,Nickel /  60,Copper /  63,Zinc /  66,Gallium /  71,Arsenic /  75,Selenium /  78,Rubidium /  85,Strontium /  88,Silver /  107,Cadmium /  111,Cesium /  133,Barium /  137,Thallium /  205,Lead /  208,Uranium /  238,,
80,CMA,LDPE,1,28,1.2182,Brushed,1.2835,1.751,0.04631,362.4,1263,1413,271,1625,5.849,4.811,319.2,2765,2.71,6.686,5.425,15.29,0.5022,1.09,-0.2036,2.358,14.7,-0.01472,0.05756,0.2158,5.557,-0.002752,2.479,0.06546,,
81,CMA,PLA,1,28,1.2348,Brushed,1.0349,0.9202,0.009938,130.4,606.2,741.9,131.8,760.8,3.205,2.381,487.8,1413,3.365,4.051,4.15,10.65,0.2828,0.5469,-0.3149,1.252,8.216,-0.02745,0.06047,0.1021,3.565,-0.008993,1.873,0.0382,,
82,CMA,Glass,2,28,2.5616,Brushed,1.4831,2.021,0.06147,2519,2052,2383,462.3,3118,5.101,5.278,444.3,2733,3.488,7.319,7.99,245.6,0.684,0.9172,-0.1181,2.682,21.36,-0.01083,0.0989,0.217,8.196,-0.000282,2.801,0.08342,,
83,CMA,LDPE,2,28,1.2558,Brushed,1.5017,2.06,0.0554,263.3,1386,1645,314.8,529.2,5.159,6.668,363.1,3280,3.232,8.073,6.563,17.26,0.5969,0.9959,-0.5062,2.788,8.331,-0.01703,0.07541,0.2493,6.417,-0.00421,3.003,0.07653,,
84,CMA,PLA,2,28,1.1996,Brushed,1.2076,1.486,0.02739,337.5,985.1,1247,236.7,407.8,3.006,3.727,445.3,2214,3.428,5.9,6.219,14.72,0.4398,0.4802,-0.3775,2.02,6.304,-0.02542,0.05499,0.1784,4.902,-0.004871,2.494,0.04928,,
85,CMA,Glass,3,28,2.5666,Brushed,1.0635,1.496,0.03358,3233,1452,2384,434.9,1923,2.378,3.759,347,1648,2.393,4.458,3.176,258.8,0.5993,0.334,-0.2949,1.84,9.725,-0.000461,0.05365,0.1353,8.68,-0.004823,1.65,0.0773,,
86,CMA,LDPE,3,28,1.1581,Brushed,1.5155,2.16,0.05418,1134,1214,2322,467.6,473.7,4.362,5.807,340.6,2788,2.785,6.749,5.903,16.32,0.6946,0.5771,-0.3448,2.932,6.769,-0.02191,0.03056,0.2309,10.05,-0.003475,2.36,0.08214,,
87,CMA,PLA,3,28,1.2085,Brushed,0.88493,0.7205,0.005632,121.5,467,581.1,114.9,179.5,0.1681,1.204,419.5,1089,2.754,3.104,3.038,7.704,0.2309,-0.000478,-0.6671,0.9946,3.288,-0.02804,0.01306,0.07706,3.589,-0.009938,1.462,0.02638,,
97,EOS,Glass,1,0,2.5599,Unbrushed,0.81798,0.1196,-0.006903,429.8,173.2,246.8,0.2621,286.9,-2.435,-0.5455,0.1741,22.37,0.04166,0.3097,0.0128,43.63,0.0233,-0.3018,-0.3386,0.007222,0.09917,0.01075,0.0262,-0.00853,0.5889,-0.00621,0.04211,0.01,,
98,EOS,LDPE,1,0,1.2139,Unbrushed,0.002004,0.09005,-0.01023,-9.688,-2.19,1.389,-3.132,0.1471,-2.149,-0.4392,0.08391,15.34,0.006315,0.05686,0.09875,0.7051,-0.01168,-0.2955,-0.1828,-0.001489,-0.03148,-0.02925,0.01221,-0.01126,0.0006789,-0.01126,0.01984,-0.003944,,
99,EOS,PLA,1,0,1.2196,Unbrushed,0.042916,0.06658,-0.02037,-14.73,-2.054,1.088,-3.284,5.098,0.4849,-0.4515,0.0566,8.22,0.005145,0.05204,0.007356,0.5685,-0.008778,0.1121,-0.5159,-0.004021,-0.0215,-0.02716,0.01391,-0.01184,-0.01162,-0.015,0.04411,-0.005415,,
100,EOS,Glass,2,0,2.5703,Unbrushed,0.86083,0.1008,-0.01219,390.7,161.4,226.2,0.07913,247,-1.852,-0.5468,0.1408,20.73,0.04535,0.2822,0.07267,38.7,0.02104,-0.248,-0.2124,0.007037,0.08945,0.01267,0.03327,-0.009549,0.4455,-0.008039,0.03441,0.005125,,
101,EOS,LDPE,2,0,1.26,Unbrushed,0.028861,0.07357,-0.0116,-11.04,-1.969,1.698,-0.9755,1.89,-1.898,-0.5055,0.06428,10.41,0.005035,0.04995,0.01559,1.499,-0.01529,-0.2037,-0.2115,-0.001426,-0.01217,-0.02756,0.004419,-0.01157,0.009511,-0.014,0.03872,-0.007197,,
102,EOS,PLA,2,0,1.1758,Unbrushed,0.026694,0.06172,-0.01531,-11.69,-1.968,1.02,-1.083,14.35,0.4106,-0.3494,0.055,7.639,0.005009,0.05757,0.006261,0.4985,-0.007133,0.1409,-0.1993,-0.003487,-0.01355,-0.03103,-0.003064,-0.01161,-0.006501,-0.005368,0.01884,-0.005193,,
103,EOS,Glass,3,0,2.5594,Unbrushed,0.88674,0.08607,-0.009636,441.7,172,245.3,3.79,276.1,-2.414,-0.6001,0.1113,16.45,0.04206,0.3008,0.04727,43.16,0.02182,-0.2853,-0.4395,0.006412,0.1049,0.01872,0.04074,-0.011,0.522,-0.01087,0.04303,0.003309,,
104,EOS,LDPE,3,0,1.2566,Unbrushed,0.027775,0.05712,-0.01646,-10.89,-2.106,0.4826,-2.168,-1.88,-2.068,-0.6532,0.02572,5.026,0.003809,0.0423,0.02584,0.4947,-0.01044,-0.2323,-0.2689,-0.003246,-0.0214,-0.03046,0.02895,-0.01069,0.0108,-0.01096,0.01557,-0.005321,,
105,EOS,PLA,3,0,1.1988,Unbrushed,0.0118,0.04342,-0.009865,-12.56,-2.146,1.031,0.03423,1.597,0.1258,-0.4094,0.04449,5.441,0.004326,0.04203,0.01167,0.4294,-0.01227,0.08322,-0.3524,-0.001172,-0.02223,-0.03461,0.006624,-0.01075,0.004728,-0.01164,0.01387,-0.007498,,
106,EOS,Glass,1,1,2.5542,Unbrushed,0.43091,0.306,0.0123,2260,835.6,732.2,90.71,1421,-0.6886,-0.07117,3.033,258.1,0.2099,0.6241,0.4216,245.4,0.1603,0.001017,-0.2949,0.2862,3.303,0.02993,0.06082,0.0124,2.605,-0.01316,0.2879,0.05088,,
107,EOS,LDPE,1,1,1.2483,Unbrushed,0.36613,0.2432,-0.01328,56.56,128.2,149,37.87,33.25,0.5745,0.1259,5.403,289.9,0.1286,0.7157,0.8117,1.486,0.04082,0.142,-0.2147,0.3037,0.6425,-0.02651,0.02061,0.01692,0.5754,-0.009569,0.2699,0.007707,,
108,EOS,PLA,1,1,1.2273,Unbrushed,0.12649,0.129,-0.01493,1.462,48.75,79.79,15.17,13.21,1.419,-0.06709,2.593,120.4,0.05292,0.2989,0.3087,0.7169,0.01349,0.1367,-0.2785,0.136,0.2253,-0.02683,0.01404,0.002764,0.2734,-0.01626,0.1029,0.002388,,
109,EOS,Glass,2,1,2.5698,Unbrushed,0.42801,0.3322,0.03708,2225,793.4,705.8,74.9,1369,-0.07201,-0.1449,2.379,224.9,0.2381,0.6681,0.3656,241,0.1662,0.08667,-0.4335,0.2817,3.118,0.03986,0.1023,0.04151,2.643,0.01603,0.2698,0.07832,,
110,EOS,LDPE,2,1,1.2457,Unbrushed,0.26038,0.1638,-0.006134,12.83,70.22,87.96,22.3,18.63,3.552,0.324,2.836,181.7,0.07251,0.4496,0.6184,1.082,0.01583,0.5144,-0.3104,0.1733,0.3366,-0.03062,0.02761,0.005581,0.3171,-0.009251,0.1834,-0.00341,,
111,EOS,PLA,2,1,1.2102,Unbrushed,0.14072,0.09381,-0.01691,5.558,33.54,44.84,11.65,4.127,2.819,0.1042,1.519,92.26,0.03848,0.2435,0.2175,0.6644,0.006543,0.4063,-0.4172,0.08573,0.1326,-0.02913,-0.002884,-0.003871,0.1654,-0.01091,0.08623,0.00201,,
112,EOS,Glass,3,1,2.4745,Unbrushed,0.44535,0.3068,0.009033,2752,930.3,800.7,104.3,1561,0.7734,0.03069,2.727,245.7,0.2195,0.5903,0.3087,270.1,0.1614,0.2172,-0.1755,0.2453,3.774,0.02748,0.05393,0.009374,2.86,-0.01231,0.2756,0.04937,,
113,EOS,LDPE,3,1,1.2544,Unbrushed,0.26588,0.1963,-0.008972,5.814,94.11,119.9,25.9,42.29,1.281,0.06413,4.844,225.8,0.09856,0.5765,0.8603,2.192,0.02955,0.2013,-0.2237,0.2312,0.4997,-0.02411,0.01353,0.01387,0.4916,-0.01251,0.2045,0.00813,,
